label, Area,BoundingBox1,BoundingBox2,BoundingBox3,BoundingBox4,Centroid1,Centroid2,ConvexArea,Eccentricity,EquivDiameter,EulerNumber,Extent,FilledArea,MajorAxisLength,MaxIntensity,MeanIntensity,MinIntensity,MinorAxisLength,Orientation,Perimeter,PerimeterOld,Solidity,WeightedCentroid1,WeightedCentroid2
0,565,0.5,0.5,39,34,20.113,18.892,1063,0.57394,26.821,-1,0.42609,1023,48.248,1,1,1,39.51,19.023,120.19,125.98,0.53151,20.113,18.892
0,665,0.5,0.5,45,43,23.359,22.639,1327,0.74718,29.098,0,0.34367,1255,59.472,1,1,1,39.526,45.612,154.7,164.75,0.50113,23.359,22.639
0,573,0.5,0.5,38,43,20.541,22.756,1139,0.77009,27.01,0,0.35067,1107,56.937,1,1,1,36.322,56.392,124.35,131.05,0.50307,20.541,22.756
0,593,0.5,0.5,32,48,18.491,25.853,1135,0.77411,27.478,0,0.38607,1060,56.444,1,1,1,35.732,71.938,131.46,139.05,0.52247,18.491,25.853
0,571,0.5,0.5,38,35,19.909,17.771,1070,0.39941,26.963,0,0.42932,1040,45.526,1,1,1,41.737,28.961,114.87,121.15,0.53364,19.909,17.771
0,568,0.5,0.5,34,48,18.053,26.551,1105,0.82611,26.892,0,0.34804,1058,59.645,1,1,1,33.611,63.037,128,135.05,0.51403,18.053,26.551
0,558,0.5,0.5,32,30,15.971,16.253,773,0.41095,26.655,0,0.58125,753,36.382,1,1,1,33.168,23.653,96.513,101.84,0.72186,15.971,16.253
0,538,0.5,0.5,36,32,18.296,16.444,862,0.60734,26.173,0,0.46701,837,42.069,1,1,1,33.422,35.372,103.11,109.15,0.62413,18.296,16.444
0,495,0.5,0.5,31,42,15.56,22.6,1041,0.67992,25.105,1,0.38018,495,49.95,1,1,1,36.628,82.679,211.94,225.48,0.4755,15.56,22.6
0,499,0.5,0.5,35,30,18.575,15.541,784,0.64912,25.206,0,0.47524,761,41.339,1,1,1,31.446,32.793,99.284,105.15,0.63648,18.575,15.541
0,479,0.5,0.5,34,29,18.013,16.025,823,0.64707,24.696,1,0.4858,479,42.974,1,1,1,32.765,22.714,172.34,182.37,0.58202,18.013,16.025
0,382,0.5,0.5,22,30,11.149,15.788,501,0.79477,22.054,0,0.57879,479,35.022,1,1,1,21.255,69.371,81.064,85.941,0.76248,11.149,15.788
0,425,0.5,0.5,28,27,14.852,14.367,576,0.66979,23.262,0,0.56217,559,34.622,1,1,1,25.709,38.977,85.001,89.598,0.73785,14.852,14.367
0,420,0.5,0.5,24,28,12.943,14.976,512,0.70388,23.125,0,0.625,500,32.298,1,1,1,22.942,55.503,79.022,83.012,0.82031,12.943,14.976
0,627,0.5,0.5,41,34,21.566,17.107,1133,0.67904,28.255,0,0.44978,1105,51.795,1,1,1,38.023,27.749,120.83,127.5,0.5534,21.566,17.107
0,517,0.5,0.5,30,35,15.358,17.679,759,0.79062,25.657,0,0.49238,737,44.575,1,1,1,27.294,53.101,99.813,105.5,0.68116,15.358,17.679
0,411,0.5,0.5,27,27,13.871,13.893,570,0.65782,22.876,0,0.56379,544,33.848,1,1,1,25.493,50.925,84.24,88.77,0.72105,13.871,13.893
0,524,0.5,0.5,36,35,18.029,18.271,903,0.7458,25.83,0,0.41587,881,48.579,1,1,1,32.362,40.486,108.65,115.4,0.58029,18.029,18.271
0,542,0.5,0.5,37,34,18.526,16.334,1006,0.36255,26.27,0,0.43084,979,43.349,1,1,1,40.399,17.447,110.1,116.33,0.53877,18.526,16.334
0,455,0.5,0.5,30,29,16.022,15.459,671,0.73057,24.069,0,0.52299,655,39.922,1,1,1,27.261,42.131,92.378,97.012,0.67809,16.022,15.459
0,471,0.5,0.5,27,36,14.48,19.068,705,0.80628,24.489,0,0.48457,673,43.404,1,1,1,25.675,62.959,97.009,103.25,0.66809,14.48,19.068
0,422,0.5,0.5,28,31,15.322,16.531,652,0.69831,23.18,0,0.48618,627,38.529,1,1,1,27.579,59.457,91.096,96.426,0.64724,15.322,16.531
0,790,0.5,0.5,37,44,18.438,23.001,1313,0.59265,31.715,0,0.48526,1273,52.757,1,1,1,42.493,-86.774,128.37,135.64,0.60168,18.438,23.001
0,683,0.5,0.5,36,41,17.798,20.996,1203,0.5438,29.489,0,0.46274,1174,50.35,1,1,1,42.255,-68.785,121.59,128.33,0.56775,17.798,20.996
0,718,0.5,0.5,38,44,18.628,22.4,1346,0.63438,30.236,0,0.42943,1306,55.915,1,1,1,43.224,-62.864,129.54,136.57,0.53343,18.628,22.4
0,935,0.5,0.5,41,52,19.473,27.266,1708,0.68966,34.503,0,0.43856,1664,65.08,1,1,1,47.127,-74.716,147.51,155.05,0.54742,19.473,27.266
0,559,0.5,0.5,42,35,21.852,17.327,1176,0.49549,26.678,0,0.38027,1137,47.789,1,1,1,41.51,24.904,122.56,129.98,0.47534,21.852,17.327
0,576,0.5,0.5,45,37,22.639,20.092,1328,0.59856,27.081,-1,0.34595,1288,56.495,1,1,1,45.257,-3.7185,130.06,137.64,0.43373,22.639,20.092
0,367,0.5,0.5,30,29,16.177,15.785,682,0.65387,21.617,0,0.42184,668,40.374,1,1,1,30.548,43.563,91.725,95.841,0.53812,16.177,15.785
0,432,0.5,0.5,37,33,18.454,18.118,943,0.55398,23.453,0,0.35381,916,45.637,1,1,1,37.994,31.236,108.9,115.15,0.45811,18.454,18.118
0,435,0.5,0.5,27,34,14.593,17.434,731,0.64805,23.534,0,0.47386,712,40.69,1,1,1,30.989,74.677,94.925,100.43,0.59508,14.593,17.434
0,598,0.5,0.5,37,46,17.754,25.363,1352,0.52972,27.593,1,0.35135,598,54.911,1,1,1,46.574,-89.61,228.4,241.97,0.44231,17.754,25.363
0,715,0.5,0.5,38,44,19.724,23.403,1188,0.71965,30.172,0,0.42763,1153,54.064,1,1,1,37.539,60.571,125.61,133.3,0.60185,19.724,23.403
0,596,0.5,0.5,37,46,20.512,25.371,1064,0.85928,27.547,0,0.35018,1027,60.384,1,1,1,30.887,52.319,128.11,135.3,0.56015,20.512,25.371
0,776,0.5,0.5,39,52,21.209,29.149,1362,0.82488,31.433,0,0.38264,1309,64.467,1,1,1,36.443,60.54,141.13,149.54,0.56975,21.209,29.149
0,570,0.5,0.5,31,38,16.468,19.828,916,0.75617,26.94,0,0.48387,876,47.986,1,1,1,31.401,60.456,111.02,116.91,0.62227,16.468,19.828
0,624,0.5,0.5,35,45,18.447,24.426,984,0.85446,28.187,0,0.39619,919,55.15,1,1,1,28.652,58.86,124.19,131.3,0.63415,18.447,24.426
0,504,0.5,0.5,33,43,16.248,22.776,1110,0.60351,25.332,0,0.35518,1083,51.81,1,1,1,41.311,83.246,118.98,125.74,0.45405,16.248,22.776
0,675,0.5,0.5,42,45,22.117,24.359,1394,0.63659,29.316,0,0.35714,1358,57.979,1,1,1,44.714,55.416,134.17,140.71,0.48422,22.117,24.359
0,851,0.5,0.5,46,46,23.556,24.975,1436,0.79155,32.917,0,0.40217,1390,62.433,1,1,1,38.153,46.777,141.4,149.54,0.59262,23.556,24.975
0,796,0.5,0.5,44,44,21.021,21.353,1479,0.49236,31.835,0,0.41116,1449,55.005,1,1,1,47.876,43.782,134.76,142.12,0.5382,21.021,21.353
0,470,0.5,0.5,36,40,18.717,21.804,1125,0.61985,24.463,0,0.32639,1090,52.882,1,1,1,41.498,54.428,121.89,129.15,0.41778,18.717,21.804
0,625,0.5,0.5,34,36,18.125,19.464,901,0.73764,28.209,0,0.51062,869,45.67,1,1,1,30.836,47.7,109.73,115.74,0.69367,18.125,19.464
0,800,0.5,0.5,41,38,20.424,20.688,1159,0.71214,31.915,-1,0.51348,1120,50.762,1,1,1,35.637,38.439,123.25,130.47,0.69025,20.424,20.688
0,700,0.5,0.5,41,41,20.646,22.031,1265,0.33034,29.854,0,0.41642,1224,48.539,1,1,1,45.814,65.941,125.77,133.05,0.55336,20.646,22.031
0,704,0.5,0.5,43,43,22.964,22.132,1476,0.43287,29.939,0,0.38075,1426,55.02,1,1,1,49.598,41.067,137.68,144.81,0.47696,22.964,22.132
